year,region,state,unit_name,unit_type,visitors
1934,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,175000
1935,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,89355
1936,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,149665
1937,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,111840
1938,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,121144
1939,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,112626
1940,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,136945
1941,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,110830
1942,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,59210
1943,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,13520
1944,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,13060
1945,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,23271
1946,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,51056
1947,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,60323
1948,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,75150
1949,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,89793
1950,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,136487
1951,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,169999
1952,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,239371
1953,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,260764
1954,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,284500
1955,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,235000
1956,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,287800
1957,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,287500
1958,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,186900
1959,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,353700
1960,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,331300
1961,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,297500
1962,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,315800
1963,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,293400
1964,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,284600
1965,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,371600
1966,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,397200
1967,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,403700
1968,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,397000
1969,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,555300
1970,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,486600
1971,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,489300
1972,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,557439
1973,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,522800
1974,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,413900
1975,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,406500
1976,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,351800
1977,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,396600
1978,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,355687
1979,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,271231
1980,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,239074
1981,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,252245
1982,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,318707
1983,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,256126
1984,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,258023
1985,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,264905
1986,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,280620
1987,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,292825
1988,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,288324
1989,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,309823
1990,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,307669
1991,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,316945
1992,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,302739
1993,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,293710
1994,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,279542
1995,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,268509
1996,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,249344
1997,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,262889
1998,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,250842
1999,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,251204
2000,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,236180
2001,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,229675
2002,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,250772
2003,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,211650
2004,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,201828
2005,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,190809
2006,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,200054
2007,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,202950
2008,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,200404
2009,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,221111
2010,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,177122
2011,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,163568
2012,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,169515
2013,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,163928
2014,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,241264
2015,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,148605
2016,SE,KY,Abraham Lincoln Birthplace National Historical Park,National Historical Park,252495
1919,NE,ME,Acadia National Park,National Park,64000
1920,NE,ME,Acadia National Park,National Park,66500
1921,NE,ME,Acadia National Park,National Park,69836
1922,NE,ME,Acadia National Park,National Park,73779
1923,NE,ME,Acadia National Park,National Park,64200
1924,NE,ME,Acadia National Park,National Park,71758
1925,NE,ME,Acadia National Park,National Park,73673
1926,NE,ME,Acadia National Park,National Park,101256
1927,NE,ME,Acadia National Park,National Park,123699
1928,NE,ME,Acadia National Park,National Park,134897
1929,NE,ME,Acadia National Park,National Park,149554
1930,NE,ME,Acadia National Park,National Park,154734
1931,NE,ME,Acadia National Park,National Park,162238
1932,NE,ME,Acadia National Park,National Park,237596
1933,NE,ME,Acadia National Park,National Park,262712
1934,NE,ME,Acadia National Park,National Park,275956
1935,NE,ME,Acadia National Park,National Park,316114
1936,NE,ME,Acadia National Park,National Park,340393
1937,NE,ME,Acadia National Park,National Park,383036
1938,NE,ME,Acadia National Park,National Park,394319
1939,NE,ME,Acadia National Park,National Park,396468
1940,NE,ME,Acadia National Park,National Park,382084
1941,NE,ME,Acadia National Park,National Park,409961
1942,NE,ME,Acadia National Park,National Park,36544
1943,NE,ME,Acadia National Park,National Park,8246
1944,NE,ME,Acadia National Park,National Park,12916
1945,NE,ME,Acadia National Park,National Park,20200
1946,NE,ME,Acadia National Park,National Park,382390
1947,NE,ME,Acadia National Park,National Park,434069
1948,NE,ME,Acadia National Park,National Park,420846
1949,NE,ME,Acadia National Park,National Park,438584
1950,NE,ME,Acadia National Park,National Park,485220
1951,NE,ME,Acadia National Park,National Park,518556
1952,NE,ME,Acadia National Park,National Park,549075
1953,NE,ME,Acadia National Park,National Park,556195
1954,NE,ME,Acadia National Park,National Park,553800
1955,NE,ME,Acadia National Park,National Park,655000
1956,NE,ME,Acadia National Park,National Park,735500
1957,NE,ME,Acadia National Park,National Park,858900
1958,NE,ME,Acadia National Park,National Park,816500
1959,NE,ME,Acadia National Park,National Park,755900
1960,NE,ME,Acadia National Park,National Park,1638200
1961,NE,ME,Acadia National Park,National Park,1574600
1962,NE,ME,Acadia National Park,National Park,1601500
1963,NE,ME,Acadia National Park,National Park,1864800
1964,NE,ME,Acadia National Park,National Park,2011600
1965,NE,ME,Acadia National Park,National Park,1733600
1966,NE,ME,Acadia National Park,National Park,2158400
1967,NE,ME,Acadia National Park,National Park,2102000
1968,NE,ME,Acadia National Park,National Park,2303300
1969,NE,ME,Acadia National Park,National Park,2489800
1970,NE,ME,Acadia National Park,National Park,2776300
1971,NE,ME,Acadia National Park,National Park,2101100
1972,NE,ME,Acadia National Park,National Park,2285881
1973,NE,ME,Acadia National Park,National Park,2394000
1974,NE,ME,Acadia National Park,National Park,2335800
1975,NE,ME,Acadia National Park,National Park,2380500
1976,NE,ME,Acadia National Park,National Park,2353300
1977,NE,ME,Acadia National Park,National Park,2734600
1978,NE,ME,Acadia National Park,National Park,2684933
1979,NE,ME,Acadia National Park,National Park,2787366
1980,NE,ME,Acadia National Park,National Park,2779666
1981,NE,ME,Acadia National Park,National Park,2997972
1982,NE,ME,Acadia National Park,National Park,3572114
1983,NE,ME,Acadia National Park,National Park,4124639
1984,NE,ME,Acadia National Park,National Park,3734763
1985,NE,ME,Acadia National Park,National Park,3745570
1986,NE,ME,Acadia National Park,National Park,3929054
1987,NE,ME,Acadia National Park,National Park,4288154
1988,NE,ME,Acadia National Park,National Park,4502283
1989,NE,ME,Acadia National Park,National Park,5440952
1990,NE,ME,Acadia National Park,National Park,2339591
1991,NE,ME,Acadia National Park,National Park,2475857
1992,NE,ME,Acadia National Park,National Park,2382113
1993,NE,ME,Acadia National Park,National Park,2656034
1994,NE,ME,Acadia National Park,National Park,2710749
1995,NE,ME,Acadia National Park,National Park,2845378
1996,NE,ME,Acadia National Park,National Park,2704831
1997,NE,ME,Acadia National Park,National Park,2760306
1998,NE,ME,Acadia National Park,National Park,2594497
1999,NE,ME,Acadia National Park,National Park,2602227
2000,NE,ME,Acadia National Park,National Park,2469238
2001,NE,ME,Acadia National Park,National Park,2516551
2002,NE,ME,Acadia National Park,National Park,2558572
2003,NE,ME,Acadia National Park,National Park,2431062
2004,NE,ME,Acadia National Park,National Park,2207847
2005,NE,ME,Acadia National Park,National Park,2051484
2006,NE,ME,Acadia National Park,National Park,2083588
2007,NE,ME,Acadia National Park,National Park,2202228
2008,NE,ME,Acadia National Park,National Park,2075857
2009,NE,ME,Acadia National Park,National Park,2227698
2010,NE,ME,Acadia National Park,National Park,2504208
2011,NE,ME,Acadia National Park,National Park,2374645
2012,NE,ME,Acadia National Park,National Park,2431052
2013,NE,ME,Acadia National Park,National Park,2254922
2014,NE,ME,Acadia National Park,National Park,2563129
2015,NE,ME,Acadia National Park,National Park,2811184
2016,NE,ME,Acadia National Park,National Park,3303393
1947,NE,MA,Adams National Historical Park,National Historical Park,873
1948,NE,MA,Adams National Historical Park,National Historical Park,6116
1949,NE,MA,Adams National Historical Park,National Historical Park,9003
1950,NE,MA,Adams National Historical Park,National Historical Park,10594
1951,NE,MA,Adams National Historical Park,National Historical Park,12234
1952,NE,MA,Adams National Historical Park,National Historical Park,11348
1953,NE,MA,Adams National Historical Park,National Historical Park,12326
1954,NE,MA,Adams National Historical Park,National Historical Park,14600
1955,NE,MA,Adams National Historical Park,National Historical Park,13900
1956,NE,MA,Adams National Historical Park,National Historical Park,15000
1957,NE,MA,Adams National Historical Park,National Historical Park,14100
1958,NE,MA,Adams National Historical Park,National Historical Park,14100
1959,NE,MA,Adams National Historical Park,National Historical Park,12700
1960,NE,MA,Adams National Historical Park,National Historical Park,11800
1961,NE,MA,Adams National Historical Park,National Historical Park,11600
1962,NE,MA,Adams National Historical Park,National Historical Park,13300
1963,NE,MA,Adams National Historical Park,National Historical Park,12800
1964,NE,MA,Adams National Historical Park,National Historical Park,15100
1965,NE,MA,Adams National Historical Park,National Historical Park,16900
1966,NE,MA,Adams National Historical Park,National Historical Park,19500
1967,NE,MA,Adams National Historical Park,National Historical Park,21600
1968,NE,MA,Adams National Historical Park,National Historical Park,14900
1969,NE,MA,Adams National Historical Park,National Historical Park,11800
1970,NE,MA,Adams National Historical Park,National Historical Park,11900
1971,NE,MA,Adams National Historical Park,National Historical Park,14500
1972,NE,MA,Adams National Historical Park,National Historical Park,18086
1973,NE,MA,Adams National Historical Park,National Historical Park,16100
1974,NE,MA,Adams National Historical Park,National Historical Park,16500
1975,NE,MA,Adams National Historical Park,National Historical Park,26400
1976,NE,MA,Adams National Historical Park,National Historical Park,41800
1977,NE,MA,Adams National Historical Park,National Historical Park,21900
1978,NE,MA,Adams National Historical Park,National Historical Park,21433
1979,NE,MA,Adams National Historical Park,National Historical Park,34322
1980,NE,MA,Adams National Historical Park,National Historical Park,24974
1981,NE,MA,Adams National Historical Park,National Historical Park,27055
1982,NE,MA,Adams National Historical Park,National Historical Park,25440
1983,NE,MA,Adams National Historical Park,National Historical Park,26162
1984,NE,MA,Adams National Historical Park,National Historical Park,23398
1985,NE,MA,Adams National Historical Park,National Historical Park,24555
1986,NE,MA,Adams National Historical Park,National Historical Park,24693
1987,NE,MA,Adams National Historical Park,National Historical Park,25617
1988,NE,MA,Adams National Historical Park,National Historical Park,21617
1989,NE,MA,Adams National Historical Park,National Historical Park,22595
1990,NE,MA,Adams National Historical Park,National Historical Park,20315
1991,NE,MA,Adams National Historical Park,National Historical Park,26958
1992,NE,MA,Adams National Historical Park,National Historical Park,27400
1993,NE,MA,Adams National Historical Park,National Historical Park,43877
1994,NE,MA,Adams National Historical Park,National Historical Park,41179
1995,NE,MA,Adams National Historical Park,National Historical Park,47312
1996,NE,MA,Adams National Historical Park,National Historical Park,38230
1997,NE,MA,Adams National Historical Park,National Historical Park,56643
1998,NE,MA,Adams National Historical Park,National Historical Park,63569
1999,NE,MA,Adams National Historical Park,National Historical Park,84574
2000,NE,MA,Adams National Historical Park,National Historical Park,87347
2001,NE,MA,Adams National Historical Park,National Historical Park,167500
2002,NE,MA,Adams National Historical Park,National Historical Park,173944
2003,NE,MA,Adams National Historical Park,National Historical Park,215659
2004,NE,MA,Adams National Historical Park,National Historical Park,239504
2005,NE,MA,Adams National Historical Park,National Historical Park,220467
2006,NE,MA,Adams National Historical Park,National Historical Park,225318
2007,NE,MA,Adams National Historical Park,National Historical Park,224880
2008,NE,MA,Adams National Historical Park,National Historical Park,241536
2009,NE,MA,Adams National Historical Park,National Historical Park,253656
2010,NE,MA,Adams National Historical Park,National Historical Park,73339
2011,NE,MA,Adams National Historical Park,National Historical Park,219975
2012,NE,MA,Adams National Historical Park,National Historical Park,336031
2013,NE,MA,Adams National Historical Park,National Historical Park,285501
2014,NE,MA,Adams National Historical Park,National Historical Park,178468
2015,NE,MA,Adams National Historical Park,National Historical Park,183632
2016,NE,MA,Adams National Historical Park,National Historical Park,199301
2010,NE,NY,African Burial Ground National Monument,National Monument,117113
2011,NE,NY,African Burial Ground National Monument,National Monument,108585
2012,NE,NY,African Burial Ground National Monument,National Monument,77624
2013,NE,NY,African Burial Ground National Monument,National Monument,93234
2014,NE,NY,African Burial Ground National Monument,National Monument,54861
2015,NE,NY,African Burial Ground National Monument,National Monument,56348
2016,NE,NY,African Burial Ground National Monument,National Monument,46526
1968,MW,NE,Agate Fossil Beds National Monument,National Monument,3800
1969,MW,NE,Agate Fossil Beds National Monument,National Monument,4100
1970,MW,NE,Agate Fossil Beds National Monument,National Monument,6900
1971,MW,NE,Agate Fossil Beds National Monument,National Monument,9000
1972,MW,NE,Agate Fossil Beds National Monument,National Monument,10793
1973,MW,NE,Agate Fossil Beds National Monument,National Monument,8100
1974,MW,NE,Agate Fossil Beds National Monument,National Monument,9900
1975,MW,NE,Agate Fossil Beds National Monument,National Monument,11000
1976,MW,NE,Agate Fossil Beds National Monument,National Monument,11500
1977,MW,NE,Agate Fossil Beds National Monument,National Monument,11100
1978,MW,NE,Agate Fossil Beds National Monument,National Monument,10739
1979,MW,NE,Agate Fossil Beds National Monument,National Monument,8115
1980,MW,NE,Agate Fossil Beds National Monument,National Monument,8330
1981,MW,NE,Agate Fossil Beds National Monument,National Monument,9459
1982,MW,NE,Agate Fossil Beds National Monument,National Monument,9018
1983,MW,NE,Agate Fossil Beds National Monument,National Monument,10097
1984,MW,NE,Agate Fossil Beds National Monument,National Monument,10317
1985,MW,NE,Agate Fossil Beds National Monument,National Monument,10366
1986,MW,NE,Agate Fossil Beds National Monument,National Monument,10187
1987,MW,NE,Agate Fossil Beds National Monument,National Monument,11439
1988,MW,NE,Agate Fossil Beds National Monument,National Monument,11156
1989,MW,NE,Agate Fossil Beds National Monument,National Monument,11459
1990,MW,NE,Agate Fossil Beds National Monument,National Monument,14482
1991,MW,NE,Agate Fossil Beds National Monument,National Monument,13891
1992,MW,NE,Agate Fossil Beds National Monument,National Monument,18785
1993,MW,NE,Agate Fossil Beds National Monument,National Monument,19467
1994,MW,NE,Agate Fossil Beds National Monument,National Monument,18970
1995,MW,NE,Agate Fossil Beds National Monument,National Monument,18719
1996,MW,NE,Agate Fossil Beds National Monument,National Monument,16567
1997,MW,NE,Agate Fossil Beds National Monument,National Monument,20596
1998,MW,NE,Agate Fossil Beds National Monument,National Monument,17594
1999,MW,NE,Agate Fossil Beds National Monument,National Monument,18117
2000,MW,NE,Agate Fossil Beds National Monument,National Monument,17933
2001,MW,NE,Agate Fossil Beds National Monument,National Monument,17399
2002,MW,NE,Agate Fossil Beds National Monument,National Monument,17129
2003,MW,NE,Agate Fossil Beds National Monument,National Monument,16233
2004,MW,NE,Agate Fossil Beds National Monument,National Monument,15235
2005,MW,NE,Agate Fossil Beds National Monument,National Monument,14209
2006,MW,NE,Agate Fossil Beds National Monument,National Monument,13521
2007,MW,NE,Agate Fossil Beds National Monument,National Monument,12997
2008,MW,NE,Agate Fossil Beds National Monument,National Monument,12425
2009,MW,NE,Agate Fossil Beds National Monument,National Monument,12694
2010,MW,NE,Agate Fossil Beds National Monument,National Monument,12509
2011,MW,NE,Agate Fossil Beds National Monument,National Monument,11617
2012,MW,NE,Agate Fossil Beds National Monument,National Monument,11824
2013,MW,NE,Agate Fossil Beds National Monument,National Monument,10504
2014,MW,NE,Agate Fossil Beds National Monument,National Monument,12440
2015,MW,NE,Agate Fossil Beds National Monument,National Monument,13264
2016,MW,NE,Agate Fossil Beds National Monument,National Monument,15555
1971,IM,TX,Alibates Flint Quarries National Monument,National Monument,1400
1972,IM,TX,Alibates Flint Quarries National Monument,National Monument,2769
1973,IM,TX,Alibates Flint Quarries National Monument,National Monument,1700
1974,IM,TX,Alibates Flint Quarries National Monument,National Monument,1300
1975,IM,TX,Alibates Flint Quarries National Monument,National Monument,2500
1976,IM,TX,Alibates Flint Quarries National Monument,National Monument,2600
1977,IM,TX,Alibates Flint Quarries National Monument,National Monument,2200
1978,IM,TX,Alibates Flint Quarries National Monument,National Monument,2455
1979,IM,TX,Alibates Flint Quarries National Monument,National Monument,1922
1980,IM,TX,Alibates Flint Quarries National Monument,National Monument,2211
1981,IM,TX,Alibates Flint Quarries National Monument,National Monument,2384
1982,IM,TX,Alibates Flint Quarries National Monument,National Monument,2398
1983,IM,TX,Alibates Flint Quarries National Monument,National Monument,1919
1984,IM,TX,Alibates Flint Quarries National Monument,National Monument,2251
1985,IM,TX,Alibates Flint Quarries National Monument,National Monument,2200
1986,IM,TX,Alibates Flint Quarries National Monument,National Monument,2202
1987,IM,TX,Alibates Flint Quarries National Monument,National Monument,2494
1988,IM,TX,Alibates Flint Quarries National Monument,National Monument,2140
1989,IM,TX,Alibates Flint Quarries National Monument,National Monument,3842
1990,IM,TX,Alibates Flint Quarries National Monument,National Monument,3418
1991,IM,TX,Alibates Flint Quarries National Monument,National Monument,3812
1992,IM,TX,Alibates Flint Quarries National Monument,National Monument,3419
1993,IM,TX,Alibates Flint Quarries National Monument,National Monument,3155
1994,IM,TX,Alibates Flint Quarries National Monument,National Monument,3392
1995,IM,TX,Alibates Flint Quarries National Monument,National Monument,2769
1996,IM,TX,Alibates Flint Quarries National Monument,National Monument,3276
1997,IM,TX,Alibates Flint Quarries National Monument,National Monument,3363
1998,IM,TX,Alibates Flint Quarries National Monument,National Monument,3293
1999,IM,TX,Alibates Flint Quarries National Monument,National Monument,3047
2000,IM,TX,Alibates Flint Quarries National Monument,National Monument,3131
2001,IM,TX,Alibates Flint Quarries National Monument,National Monument,2456
2002,IM,TX,Alibates Flint Quarries National Monument,National Monument,2125
2003,IM,TX,Alibates Flint Quarries National Monument,National Monument,1811
2004,IM,TX,Alibates Flint Quarries National Monument,National Monument,2012
2005,IM,TX,Alibates Flint Quarries National Monument,National Monument,2919
2006,IM,TX,Alibates Flint Quarries National Monument,National Monument,1882
2007,IM,TX,Alibates Flint Quarries National Monument,National Monument,4028
2008,IM,TX,Alibates Flint Quarries National Monument,National Monument,2297
2009,IM,TX,Alibates Flint Quarries National Monument,National Monument,2918
2010,IM,TX,Alibates Flint Quarries National Monument,National Monument,4350
2011,IM,TX,Alibates Flint Quarries National Monument,National Monument,3214
2012,IM,TX,Alibates Flint Quarries National Monument,National Monument,3383
2013,IM,TX,Alibates Flint Quarries National Monument,National Monument,1555
2014,IM,TX,Alibates Flint Quarries National Monument,National Monument,4513
2015,IM,TX,Alibates Flint Quarries National Monument,National Monument,9492
2016,IM,TX,Alibates Flint Quarries National Monument,National Monument,8153
1968,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,5500
1969,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,21100
1970,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,42000
1971,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,25900
1972,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,25960
1973,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,45700
1974,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,43900
1975,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,46500
1976,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,62700
1977,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,64400
1978,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,58360
1979,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,58225
1980,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,73995
1981,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,65557
1982,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,60069
1983,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,55148
1984,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,59635
1985,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,69523
1986,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,68990
1987,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,93289
1988,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,123622
1989,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,133324
1990,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,131735
1991,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,154816
1992,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,183473
1993,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,189009
1994,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,160394
1995,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,145307
1996,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,139446
1997,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,121841
1998,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,111100
1999,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,111391
2000,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,133396
2001,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,142340
2002,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,146484
2003,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,129995
2004,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,126441
2005,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,115357
2006,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,121009
2007,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,123215
2008,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,113991
2009,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,118931
2010,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,107363
2011,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,118410
2012,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,138864
2013,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,107977
2014,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,172883
2015,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,168433
2016,NE,PA,Allegheny Portage Railroad National Historic Site,National Historic Site,189371
1969,IM,TX,Amistad National Recreation Area,National Recreation Area,448000
1970,IM,TX,Amistad National Recreation Area,National Recreation Area,678800
1971,IM,TX,Amistad National Recreation Area,National Recreation Area,677700
1972,IM,TX,Amistad National Recreation Area,National Recreation Area,960058
1973,IM,TX,Amistad National Recreation Area,National Recreation Area,960900
1974,IM,TX,Amistad National Recreation Area,National Recreation Area,931900
1975,IM,TX,Amistad National Recreation Area,National Recreation Area,1035000
1976,IM,TX,Amistad National Recreation Area,National Recreation Area,1070400
1977,IM,TX,Amistad National Recreation Area,National Recreation Area,979200
1978,IM,TX,Amistad National Recreation Area,National Recreation Area,1235118
1979,IM,TX,Amistad National Recreation Area,National Recreation Area,1261846
1980,IM,TX,Amistad National Recreation Area,National Recreation Area,1084689
1981,IM,TX,Amistad National Recreation Area,National Recreation Area,976414
1982,IM,TX,Amistad National Recreation Area,National Recreation Area,1259668
1983,IM,TX,Amistad National Recreation Area,National Recreation Area,1221445
1984,IM,TX,Amistad National Recreation Area,National Recreation Area,1164338
1985,IM,TX,Amistad National Recreation Area,National Recreation Area,1139366
1986,IM,TX,Amistad National Recreation Area,National Recreation Area,1206669
1987,IM,TX,Amistad National Recreation Area,National Recreation Area,1219967
1988,IM,TX,Amistad National Recreation Area,National Recreation Area,1284606
1989,IM,TX,Amistad National Recreation Area,National Recreation Area,1321168
1990,IM,TX,Amistad National Recreation Area,National Recreation Area,1306474
1991,IM,TX,Amistad National Recreation Area,National Recreation Area,1215691
1992,IM,TX,Amistad National Recreation Area,National Recreation Area,1559659
1993,IM,TX,Amistad National Recreation Area,National Recreation Area,1505084
1994,IM,TX,Amistad National Recreation Area,National Recreation Area,1591903
1995,IM,TX,Amistad National Recreation Area,National Recreation Area,1422321
1996,IM,TX,Amistad National Recreation Area,National Recreation Area,1238990
1997,IM,TX,Amistad National Recreation Area,National Recreation Area,1084433
1998,IM,TX,Amistad National Recreation Area,National Recreation Area,1129811
1999,IM,TX,Amistad National Recreation Area,National Recreation Area,1164166
2000,IM,TX,Amistad National Recreation Area,National Recreation Area,1234506
